timestamp_ms,voc,nox,mq135_voltage,mq3_voltage,sht40_temperature,sht40_humidity,bme688_temperature,bme688_humidity,bme688_pressure,bme688_gas_resistance,bme688_iaq,bme688_co2_equivalent,bme688_breath_voc_equivalent,scd40_co2,scd40_temperature,scd40_humidity,label,trial,session_id,elapsed_s
0,101.006,0.947,0.59,0.352,22.957,55.181,23.504,50.474,993.648,15683.645,48.13,500.413,0.384,647.375,22.9,51.634,ar_limpo,0,ar_limpo_000,0.0
1000,95.646,0.873,0.586,0.366,22.99,55.683,23.347,50.176,994.452,16023.503,47.77,490.783,0.477,652.642,22.919,51.895,ar_limpo,0,ar_limpo_000,1.0
2000,98.726,1.216,0.583,0.355,22.948,54.935,23.463,50.747,993.37,16378.481,54.038,507.813,0.513,646.233,23.117,52.98,ar_limpo,0,ar_limpo_000,2.0
3000,114.413,1.526,0.585,0.332,23.0,55.328,23.297,50.198,994.215,16174.011,46.448,493.383,0.478,635.962,23.139,51.752,ar_limpo,0,ar_limpo_000,3.0
4000,102.632,0.897,0.604,0.37,23.051,53.898,23.404,50.342,994.502,15845.523,55.466,486.796,0.467,661.221,23.004,53.001,ar_limpo,0,ar_limpo_000,4.0
5000,101.508,0.747,0.574,0.334,22.898,55.315,23.446,50.647,993.623,16422.277,49.138,515.744,0.478,641.174,23.02,52.516,ar_limpo,0,ar_limpo_000,5.0
6000,101.288,0.766,0.56,0.329,23.04,55.495,23.387,49.463,994.437,15679.902,47.861,506.21,0.387,654.636,22.953,52.055,ar_limpo,0,ar_limpo_000,6.0
7000,99.394,1.081,0.59,0.339,23.114,55.363,23.467,50.582,994.394,16211.02,50.227,485.732,0.493,640.766,22.886,52.129,ar_limpo,0,ar_limpo_000,7.0
8000,95.452,0.588,0.564,0.354,23.029,55.661,23.399,50.521,994.701,16287.541,42.904,512.287,0.517,655.085,23.03,52.191,ar_limpo,0,ar_limpo_000,8.0
9000,102.555,0.856,0.551,0.348,22.936,55.54,23.377,50.042,993.575,15872.344,49.965,485.146,0.515,648.727,22.905,50.801,ar_limpo,0,ar_limpo_000,9.0
10000,104.104,0.881,0.572,0.346,23.145,54.975,23.407,49.256,994.824,16229.372,53.201,500.477,0.546,654.451,23.049,51.924,ar_limpo,0,ar_limpo_000,10.0
11000,88.209,1.412,0.551,0.346,22.984,54.479,23.449,49.9,993.782,16129.96,48.57,513.89,0.518,644.308,22.844,51.346,ar_limpo,0,ar_limpo_000,11.0
12000,108.695,0.98,0.576,0.375,22.897,54.707,23.362,50.293,993.668,15846.646,45.185,507.293,0.54,644.283,23.013,51.354,ar_limpo,0,ar_limpo_000,12.0
13000,96.225,1.551,0.582,0.385,22.937,55.29,23.384,50.283,993.996,15859.7,47.397,530.66,0.496,625.8,22.948,52.339,ar_limpo,0,ar_limpo_000,13.0
14000,96.0,1.544,0.595,0.348,22.962,54.498,23.344,49.263,994.602,16397.675,46.232,488.183,0.412,638.434,22.751,51.429,ar_limpo,0,ar_limpo_000,14.0
15000,110.375,0.862,0.593,0.343,23.141,55.1,23.369,51.276,993.838,15694.694,50.606,499.612,0.553,638.94,23.064,52.426,ar_limpo,0,ar_limpo_000,15.0
16000,94.659,1.065,0.568,0.385,22.944,54.773,23.315,49.827,993.997,16191.947,48.169,498.142,0.429,640.071,23.22,52.521,ar_limpo,0,ar_limpo_000,16.0
17000,93.749,0.465,0.565,0.35,23.003,54.628,23.297,50.711,994.226,15906.358,49.338,494.705,0.353,651.388,22.914,51.499,ar_limpo,0,ar_limpo_000,17.0
18000,94.878,1.293,0.562,0.328,23.051,55.377,23.323,50.281,993.854,16075.323,46.217,508.329,0.56,657.645,23.045,50.114,ar_limpo,0,ar_limpo_000,18.0
19000,102.085,0.99,0.578,0.341,23.004,55.206,23.379,49.768,994.615,15723.658,53.09,501.768,0.46,646.52,22.926,52.338,ar_limpo,0,ar_limpo_000,19.0
20000,102.783,0.777,0.563,0.355,23.077,54.943,23.433,49.812,994.034,15927.179,50.882,484.902,0.532,647.241,23.029,51.83,ar_limpo,0,ar_limpo_000,20.0
21000,102.563,0.571,0.598,0.324,22.917,55.118,23.517,50.139,993.876,15643.727,49.426,499.801,0.585,657.466,22.878,53.013,ar_limpo,0,ar_limpo_000,21.0
22000,96.84,0.648,0.602,0.349,22.971,55.109,23.468,50.497,993.312,16499.62,52.841,496.208,0.459,638.372,23.01,51.676,ar_limpo,0,ar_limpo_000,22.0
23000,93.881,1.325,0.585,0.344,23.059,55.684,23.312,49.698,994.471,16179.735,50.68,511.624,0.446,632.25,22.931,52.061,ar_limpo,0,ar_limpo_000,23.0
24000,93.631,0.805,0.565,0.341,22.92,55.184,23.464,49.76,993.896,15854.742,51.594,500.891,0.58,636.854,23.029,52.222,ar_limpo,0,ar_limpo_000,24.0
25000,97.116,1.233,0.558,0.382,22.893,55.46,23.31,50.575,993.808,16039.606,50.16,511.007,0.484,614.394,22.939,52.092,ar_limpo,0,ar_limpo_000,25.0
26000,96.476,1.308,0.595,0.348,22.881,55.692,23.487,49.85,995.054,15912.781,46.589,498.441,0.554,638.751,23.156,51.552,ar_limpo,0,ar_limpo_000,26.0
27000,107.635,1.218,0.578,0.366,22.88,55.679,23.395,49.729,994.375,16264.975,52.309,519.995,0.554,665.402,22.957,52.053,ar_limpo,0,ar_limpo_000,27.0
28000,104.504,0.993,0.585,0.356,23.068,54.949,23.372,49.586,993.554,16293.113,49.746,507.869,0.435,626.742,22.916,52.573,ar_limpo,0,ar_limpo_000,28.0
29000,108.545,1.133,0.568,0.348,22.976,54.828,23.2,49.571,993.905,16379.107,50.482,514.009,0.48,646.968,22.688,52.232,ar_limpo,0,ar_limpo_000,29.0
30000,104.377,1.706,0.573,0.351,22.944,54.412,23.343,49.828,994.678,16000.553,47.628,501.419,0.511,641.885,23.091,51.056,ar_limpo,0,ar_limpo_000,30.0
31000,98.292,1.266,0.56,0.355,23.103,55.227,23.265,49.636,994.616,16074.584,49.97,504.412,0.536,641.498,22.977,52.071,ar_limpo,0,ar_limpo_000,31.0
32000,95.648,0.947,0.599,0.335,23.154,55.94,23.263,49.929,994.171,15809.782,47.777,497.626,0.537,643.864,23.146,52.145,ar_limpo,0,ar_limpo_000,32.0
33000,99.179,1.58,0.589,0.356,22.974,55.907,23.465,49.898,993.211,16093.238,46.569,482.841,0.486,653.378,23.103,52.141,ar_limpo,0,ar_limpo_000,33.0
34000,106.448,0.51,0.58,0.352,23.069,55.058,23.464,49.748,994.179,16103.717,46.251,501.755,0.484,627.151,23.077,51.819,ar_limpo,0,ar_limpo_000,34.0
35000,93.181,0.849,0.582,0.373,22.987,55.236,23.51,50.267,994.534,15880.873,52.313,499.42,0.554,637.957,22.938,52.634,ar_limpo,0,ar_limpo_000,35.0
36000,98.431,0.856,0.581,0.34,23.107,54.375,23.388,50.173,993.948,15799.428,47.395,504.254,0.448,657.755,22.878,51.723,ar_limpo,0,ar_limpo_000,36.0
37000,100.29,0.499,0.59,0.35,22.917,54.241,23.275,50.026,993.422,15658.78,49.306,522.775,0.514,659.155,23.017,52.391,ar_limpo,0,ar_limpo_000,37.0
38000,89.255,0.828,0.584,0.35,22.985,54.667,23.379,49.613,992.789,15701.373,51.427,515.571,0.591,651.161,23.071,52.454,ar_limpo,0,ar_limpo_000,38.0
39000,94.462,0.321,0.58,0.324,22.974,55.304,23.286,50.016,994.62,16090.378,51.567,509.067,0.587,651.817,23.098,51.968,ar_limpo,0,ar_limpo_000,39.0
40000,95.631,1.126,0.571,0.341,22.951,53.852,23.408,49.368,993.946,16362.492,48.437,494.58,0.568,656.556,23.078,51.822,ar_limpo,0,ar_limpo_000,40.0
41000,105.985,0.726,0.57,0.359,22.952,55.384,23.591,49.157,993.624,16280.037,49.565,511.611,0.449,653.976,22.988,52.07,ar_limpo,0,ar_limpo_000,41.0
42000,102.649,0.512,0.564,0.371,23.023,55.053,23.396,50.178,993.422,15750.243,53.914,501.513,0.543,642.732,23.11,52.173,ar_limpo,0,ar_limpo_000,42.0
43000,103.85,1.219,0.568,0.322,22.914,55.815,23.504,49.827,993.849,16259.151,49.495,487.007,0.563,655.726,22.799,51.843,ar_limpo,0,ar_limpo_000,43.0
44000,101.149,1.192,0.582,0.34,22.991,55.147,23.379,49.814,994.626,15763.348,48.952,479.687,0.527,659.939,23.044,52.459,ar_limpo,0,ar_limpo_000,44.0
45000,103.526,1.137,0.587,0.346,23.095,54.826,23.283,50.425,994.925,15759.962,49.695,493.146,0.481,650.553,22.901,51.861,ar_limpo,0,ar_limpo_000,45.0
46000,88.272,0.773,0.562,0.334,22.862,55.61,23.441,49.041,993.702,15832.39,47.927,485.531,0.538,645.25,23.037,52.263,ar_limpo,0,ar_limpo_000,46.0
47000,111.004,0.274,0.606,0.369,23.046,56.192,23.416,50.411,993.631,16283.589,50.503,495.488,0.606,646.342,23.001,51.901,ar_limpo,0,ar_limpo_000,47.0
48000,93.955,1.213,0.591,0.355,22.811,55.504,23.372,49.392,994.302,16140.712,46.871,524.724,0.44,629.204,22.908,52.71,ar_limpo,0,ar_limpo_000,48.0
49000,98.593,0.851,0.579,0.341,22.945,54.679,23.457,50.51,993.472,16059.807,52.365,489.182,0.475,637.543,22.897,52.051,ar_limpo,0,ar_limpo_000,49.0
50000,94.111,1.252,0.58,0.356,22.977,54.683,23.393,49.998,993.647,16106.649,52.24,501.581,0.586,642.412,23.042,51.796,ar_limpo,0,ar_limpo_000,50.0
51000,101.877,0.668,0.597,0.353,23.095,54.367,23.361,49.554,993.734,15826.848,49.638,499.828,0.498,643.334,23.015,52.438,ar_limpo,0,ar_limpo_000,51.0
52000,92.782,1.0,0.579,0.357,22.995,54.992,23.321,50.011,993.539,16128.926,49.69,500.399,0.455,659.645,23.055,52.431,ar_limpo,0,ar_limpo_000,52.0
53000,117.819,0.979,0.598,0.348,23.032,55.183,23.421,50.329,993.848,16010.233,51.606,517.479,0.458,628.326,22.961,52.045,ar_limpo,0,ar_limpo_000,53.0
54000,101.4,1.037,0.598,0.365,22.996,54.765,23.372,49.822,993.887,15606.837,48.617,495.751,0.491,646.948,23.054,51.734,ar_limpo,0,ar_limpo_000,54.0
55000,96.491,1.217,0.576,0.353,23.054,55.211,23.42,49.902,994.341,16043.887,48.485,498.492,0.439,638.461,22.849,51.66,ar_limpo,0,ar_limpo_000,55.0
56000,110.684,0.777,0.592,0.35,22.944,55.669,23.447,49.124,994.521,15731.302,49.466,506.681,0.485,663.427,23.061,51.212,ar_limpo,0,ar_limpo_000,56.0
57000,96.221,1.113,0.571,0.347,23.064,55.158,23.326,50.087,993.694,15696.202,46.61,502.87,0.499,650.065,22.908,51.908,ar_limpo,0,ar_limpo_000,57.0
58000,91.703,0.629,0.578,0.329,23.054,56.243,23.437,49.479,993.864,15611.141,48.867,505.073,0.529,637.619,23.024,52.578,ar_limpo,0,ar_limpo_000,58.0
59000,114.041,0.72,0.567,0.351,22.766,54.734,23.378,49.77,993.208,15938.612,47.67,507.575,0.454,646.612,22.981,52.284,ar_limpo,0,ar_limpo_000,59.0
60000,79.633,0.864,0.591,0.345,22.878,55.163,23.427,49.865,993.42,15814.831,49.059,491.245,0.404,640.769,22.995,51.746,ar_limpo,0,ar_limpo_000,60.0
61000,99.395,1.033,0.593,0.383,23.059,54.298,23.187,49.953,994.036,15709.532,50.816,492.331,0.52,646.094,23.032,51.128,ar_limpo,0,ar_limpo_000,61.0
62000,96.492,0.941,0.559,0.378,22.957,55.695,23.347,49.885,994.592,16075.957,50.576,502.659,0.432,645.325,22.923,52.099,ar_limpo,0,ar_limpo_000,62.0
63000,95.648,0.982,0.579,0.349,22.997,54.674,23.316,49.668,994.536,16093.54,51.761,513.8,0.441,656.119,22.914,51.833,ar_limpo,0,ar_limpo_000,63.0
64000,103.874,1.646,0.568,0.349,23.092,54.255,23.429,49.846,993.559,16036.658,51.785,490.879,0.519,652.08,22.901,52.777,ar_limpo,0,ar_limpo_000,64.0
65000,108.719,0.656,0.571,0.362,22.96,54.08,23.484,50.004,994.954,16089.367,50.573,528.745,0.491,638.578,23.018,52.568,ar_limpo,0,ar_limpo_000,65.0
66000,90.679,0.637,0.587,0.302,22.913,55.398,23.353,49.187,994.963,15647.366,48.43,496.273,0.504,645.566,22.994,52.029,ar_limpo,0,ar_limpo_000,66.0
67000,99.307,1.037,0.544,0.357,22.888,53.917,23.511,49.357,994.09,15806.86,47.965,504.837,0.448,654.472,23.03,52.582,ar_limpo,0,ar_limpo_000,67.0
68000,97.31,1.419,0.606,0.374,23.047,55.225,23.628,51.116,993.617,16230.902,51.806,500.723,0.508,655.853,23.075,52.109,ar_limpo,0,ar_limpo_000,68.0
69000,102.718,1.557,0.585,0.358,23.079,55.817,23.498,50.189,994.104,15694.099,50.876,489.628,0.449,657.806,22.992,52.236,ar_limpo,0,ar_limpo_000,69.0
70000,94.984,1.48,0.582,0.368,23.054,55.083,23.362,50.016,994.414,16174.414,46.413,510.257,0.489,659.783,22.944,52.319,ar_limpo,0,ar_limpo_000,70.0
71000,93.627,1.052,0.576,0.346,22.955,54.923,23.261,50.438,994.481,15889.307,45.861,493.533,0.547,657.506,22.976,52.449,ar_limpo,0,ar_limpo_000,71.0
