feature,importance
bme688_humidity_early_auc_delta,0.027467723958885675
scd40_humidity_early_delta_mean,0.026011626948064442
bme688_co2_equivalent_early_delta_mean,0.02501520185383572
scd40_humidity_early_delta_max,0.024395050790378257
scd40_humidity_early_ratio_max,0.023894754252659613
bme688_breath_voc_equivalent_early_auc_abs_delta,0.022391696120594263
bme688_humidity_early_delta_max,0.02213779552853235
bme688_humidity_early_auc_abs_delta,0.021733337742720214
bme688_humidity_early_ratio_max,0.021603775622465113
scd40_humidity_early_std,0.02106963959458053
bme688_breath_voc_equivalent_early_ratio_mean,0.020819037458103373
bme688_co2_equivalent_early_delta_max,0.02057196712405554
bme688_breath_voc_equivalent_early_auc_delta,0.019307718597993427
bme688_humidity_early_std,0.018658129552629018
bme688_co2_equivalent_early_auc_delta,0.018161563352052636
bme688_gas_resistance_early_ratio_mean,0.01802789066274748
scd40_humidity_early_slope,0.016763592143792094
bme688_iaq_early_auc_delta,0.01662976175716091
bme688_gas_resistance_early_auc_abs_delta,0.016308907939000725
bme688_co2_equivalent_early_std,0.016066670789764034
scd40_humidity_early_auc_abs_delta,0.01605939458731081
bme688_gas_resistance_early_auc_delta,0.015505638312979653
bme688_iaq_early_auc_abs_delta,0.015500189547578851
scd40_humidity_early_auc_delta,0.015337704529659043
bme688_breath_voc_equivalent_early_delta_max,0.014895458948225372
bme688_iaq_early_delta_mean,0.01482404022581365
bme688_co2_equivalent_early_ratio_max,0.014793529944835243
mq135_voltage_early_delta_max,0.014458687583865901
mq135_voltage_early_delta_min,0.013729915870792976
bme688_breath_voc_equivalent_early_delta_mean,0.012813071151362288
bme688_co2_equivalent_early_slope,0.012787067770488384
bme688_temperature_early_slope,0.012143941230404978
mq135_voltage_early_auc_delta,0.012050248457852705
bme688_gas_resistance_early_delta_mean,0.011645372637529117
scd40_humidity_early_ratio_mean,0.01149311060208786
bme688_humidity_early_delta_mean,0.011185225974055139
bme688_humidity_early_ratio_mean,0.01111858817934435
bme688_co2_equivalent_early_ratio_mean,0.010851420015915696
bme688_iaq_early_std,0.010794849044059997
mq3_voltage_early_auc_abs_delta,0.0106341302119767
mq135_voltage_early_ratio_mean,0.010405929068065546
mq3_voltage_early_ratio_mean,0.010075321057913077
mq3_voltage_early_auc_delta,0.00996907224436525
bme688_iaq_early_ratio_mean,0.00964733091472442
bme688_co2_equivalent_early_auc_abs_delta,0.009341346043222966
mq135_voltage_early_delta_mean,0.00928131783681569
bme688_breath_voc_equivalent_early_std,0.009231782260945436
mq3_voltage_early_slope,0.00914736312028959
mq135_voltage_early_std,0.008941455524894398
bme688_humidity_early_slope,0.008696224574100561
bme688_gas_resistance_early_std,0.00866783059786315
bme688_breath_voc_equivalent_early_slope,0.008561437984245477
mq135_voltage_early_mean,0.00825030982014858
bme688_gas_resistance_early_min,0.008215451275322515
bme688_breath_voc_equivalent_early_ratio_max,0.008203926798129686
voc_early_slope,0.007962693626638585
