feature,importance
bme688_co2_equivalent_early_delta_mean,0.02608766319633896
bme688_gas_resistance_early_ratio_mean,0.02312451660510795
scd40_humidity_early_auc_abs_delta,0.0219843177362023
bme688_co2_equivalent_early_auc_delta,0.021834867038128234
bme688_humidity_early_auc_delta,0.02179579263243538
bme688_humidity_early_delta_mean,0.021705749665370647
bme688_humidity_early_delta_max,0.021588369835746725
scd40_humidity_early_slope,0.021237123120672996
bme688_gas_resistance_early_auc_abs_delta,0.021036681497748302
bme688_co2_equivalent_early_delta_max,0.020134356310905793
bme688_humidity_early_std,0.01930646442287465
mq135_voltage_early_delta_max,0.018664458165183362
bme688_breath_voc_equivalent_early_auc_abs_delta,0.018446384651338892
scd40_humidity_early_delta_max,0.017041963848420983
bme688_co2_equivalent_early_std,0.015843843281579333
bme688_breath_voc_equivalent_early_delta_max,0.0156582303925128
scd40_humidity_early_auc_delta,0.015439964460269183
bme688_humidity_early_ratio_max,0.015066050435703703
bme688_breath_voc_equivalent_early_auc_delta,0.015030560871359728
mq135_voltage_early_delta_min,0.014671698939153238
bme688_gas_resistance_early_std,0.014561319392417766
bme688_humidity_early_slope,0.014275052014883834
bme688_breath_voc_equivalent_early_std,0.013741422559557345
bme688_breath_voc_equivalent_early_ratio_mean,0.013602056930015568
scd40_humidity_early_delta_mean,0.013586229415790551
mq3_voltage_early_auc_delta,0.013545213782036106
scd40_humidity_early_std,0.013329744856587633
mq3_voltage_early_slope,0.01313216328708757
mq3_voltage_early_std,0.012876500889833272
bme688_co2_equivalent_early_ratio_max,0.012595593751440098
bme688_co2_equivalent_early_auc_abs_delta,0.012524570852888139
bme688_co2_equivalent_early_slope,0.012461867925587572
bme688_breath_voc_equivalent_early_slope,0.012332427446905495
mq135_voltage_early_delta_mean,0.012239282665117245
bme688_co2_equivalent_early_ratio_mean,0.01216465186690679
mq135_voltage_early_mean,0.01215328166366339
mq135_voltage_early_std,0.011901909823410129
bme688_breath_voc_equivalent_early_ratio_max,0.011895123858167853
bme688_humidity_early_auc_abs_delta,0.011105040834669259
bme688_gas_resistance_early_auc_delta,0.011099041940718382
bme688_gas_resistance_early_delta_mean,0.010468452565550441
bme688_gas_resistance_early_delta_min,0.010174106179394387
bme688_co2_equivalent_early_mean,0.010148605694821221
bme688_breath_voc_equivalent_early_delta_mean,0.010131035665082977
bme688_co2_equivalent_early_max,0.01011979646196242
bme688_iaq_early_delta_mean,0.009814768772428293
mq135_voltage_early_auc_delta,0.009665624877868035
mq3_voltage_early_auc_abs_delta,0.009037997488468457
mq3_voltage_early_ratio_max,0.009017614326995124
mq135_voltage_early_auc_abs_delta,0.0089836573889067
mq3_voltage_early_delta_mean,0.00896509421942274
bme688_gas_resistance_early_min,0.008891100214122443
mq3_voltage_early_max,0.008314041829564372
bme688_humidity_early_ratio_mean,0.008246371226737671
